aafkagh-,to burst
ngillegte-,to moan; to groan
nguleghte-,to stretch (particularly a boot sole) with a stretching stick
nguug-,to eat meat clinging to a bone (said of an animal)
nighughpagte-,to twinkle
nighughte-,to become bright
nighugh-,to be bright (light); to be daylight
nighugtaghagh-,for dawn to come
nighugyug-,to get bright light in one's eyes
nighupagite-,to be dim or dull
nighwaagpagtagh-,to glitter
nighwaagrag-,to be transparent
niighigh-,to remove rope holding a skin to a drying frame (and thus remove the skin); to debone a fish
niighte-,to crush; to press; to lean heavily on
niightugh-,to stretch and lash a skin to a frame for drying
niigh-,to place sticks side by side as when making an elevated rack
niinghute-,to surface and then resubmerge (of sea animal or boat in rough water); to plunge into something
niite-,to have a fishbone stuck in one's throat
niive-,to transfer from one container to another; to pour; to give birth
nipallagh-,to be offended (as from being left out); to feel left out; to be emotionally hurt
nipallaqe-,to be offended or emotionally hurt by (it)
nipalliqe-,to feel left out
nivugh-,to pour into another container
nughtuqite-,to be deterred from doing what one had intended
nugru-,to put a loop in something
nukeggnaghqe-,to get dirty
nukeggnagh-,to cause one to get dirty
nukeggniigh-,to clean
nula-,to multiply; to increase in number or size
nulgiigh-,to relax facial muscles; to become expressionless; to become stony-faced
nulgiite-,to be stony-faced; be expressionless
nulightugh-,to get a wife; to get married (of a man)
nulngiigh-,to relax facial muscles; to become expressionless; to become stony-faced
nulngiite-,to be stony-faced; be expressionless
nulqaviigh-,to have a difficult time; to be worried or discouraged
nulugh-,to fish through the ice by jigging; to jig; to ice-fish; to dunk teabag up and down
nunakingite-,to be indisposed or otherwise unable to enjoy things
nunaki-,to have a good time; to enjoy oneself; to be happy
nunangite-,to not have enough room
nunanighqe-,to produce enjoyable music, stories, etc.
nunanigh-,to be enjoyable
nunanipagite-,to be not very enjoyable
nunaniqe-,to find (it) enjoyable
nunatu-,to be roomy; to be spacious
nunavghugh-,to go camping by boat for an extended time
nunavghuugh-,to go to a camp
nungighte-,to tie boot top or other clothing with a drawstring
nunii-,to sit very still and stare vacantly; to daydream in a trance like state
nunivi-,to gather greens
nunmaag-,to be slow; to be sluggish
nunmaaw-,to be slow; to be sluggish
nunughtugh-,to choke; to strangle
nunugh-,to pinch; to hold between thumb and finger(s)
nuqeghsigh-,to take a shortcut in order to overtake what one is pursuing
nuqete-,to have fortitude; to practice self-restraint; to refrain
nuqnegh-,to hold on (lest one fall)
nuqsaleg-,to almost but not quite obtain (it); to fall short
nuqutughte-,to widen
nuqutu-,to be wide (of clothing, openings, etc.)
nurgu-,to put a loop in something
nusughagh-,to pass through an area of thin ice by breaking it before one as one goes
nusugniigh-,to snare; to trap
nusug-,to pull out
nutaghte-,to make new; to renew or be renewed; to fix up
nuugaghte-,to move suddenly; to change one's mind suddenly
nuughhute-,to be insufficient
nuughqaghte-,to suddenly protrude through an opening; to suddenly surface; to suddenly put one's head through an opening
nuughtugh-,to miss (be too late for)
nuugh-,to be in need; to be unable to reach; be short of; to miss out on
nuugpagte-,to move suddenly; to change one's mind suddenly
nuugte-,to move
nuug-,to surface (of seals, ducks); to stick one's head out through an opening
nuulgaghte-,to chip the edge or tip of (it); to break off a piece from its edge or point
nuupnigh-,to abate or diminish or die down temporarily (of wind)
nuuqragti-,to live in poverty
nuuve-,to run thread through the eye of a needle (or like thing); to thread (a needle); to do something correctly (figurative usage)
nuvagragh-,to moisten with saliva
nuvagte-,to apply saliva to
nuvag-,to drool
nuverragh-,to knit; to thread through
nuvugh-,to string beads
nuyaaghite-,to not be timid (of animals)
nuyaagh-,to be timid; to be wary; be unapproachable (of animals)
nuyiigh-,to get or give a haircut
nuyiite-,to be bald
nuyughtugh-,to be timid; to be wary; to be shy (said of animals or people)
paaghqite-,to be vacant; to be unpopulated; to be without people
paagh-,to lick clean with the tongue; to scrape with one's finger and lick off the finger; to lap with the tongue
paallitaqe-,to be inconsiderate of (him)
paallnaghqengwaagh-,to suffer severe loss (of loved ones, property, health, etc.); to completely run out of something; to go broke
paame-,to pump
paamkagh-,to shoot with a whaling gun
paani-,to work on something but not to completion; to outline or rough-out ivory carving or the like
paaptaaye-,to baptise
paaqngite-,to be deserted, uninhabited, empty, vacant
paarghulliqe-,to have appendicitis
paasqute-,to face each other
paawagh-,to peg out a sealskin on tthe ground to dry
paayghaate-,to break something when it is still new
paayghi-,to go meet and help someone coming
paayngute-,to begin (a trend, activity, ceremony, etc.); to start (a trend, activity, ceremony, etc.); to open a ceremony
paggaagte-,to audibly breathe hard; to be filled with air; to be bloated
paghqigh-,to learn; to discover (how)
paghqilngaate-,to steal or slip away; to do, encounter or experience something when no one else is around
paghsi-,to be sleepy or to sleep soundly after being out in the fresh air
paghyanghaghte-,to catch or get caught, force or be forced to act when one is unprepared; to rush when unprepared
paghyugh-,to be tired; to be sleepy
pagiqe-,to nurse; to take care of
pagite-,to leave as an inheritance; to keep as a keepsake of someone; to take care of for the owner when owner is away
pagi-,to stay behind; to remain (to watch over things, as a survivor, etc.)
pagsinga-,to attend; to be present; to watch something (a performance or the like); to watch stealthily (?)
pagugh-,for there to be a ripple in the distance on the surface of the sea
pagulangigh-,to dust; to filter (liquid)
paguluqe-,to be murky, cloudy or dim
pakag-,to pry with a lever; to raise, push or remove part by prying
pakegte-,to bend or flex at a joint; to bend over forward; to roll up something
pakeg-,to flex; to bend; to fold; to be bent by old age
pakigniigh-,to get more than intended
pakigsigh-,to be stepped on or pushed aside by others in their striving to get ahead
pakig-,to hook one's hand onto (it) and pull either bringing it toward oneself or pulling oneself toward it or past it; to grab much for oneself; to dismiss from the mind; to ignore or pass over
pakineg-,to scratch
pakreghqe-,to huddle up from cold; to tense up
pakreg-,to bend; to curl; to warp; to fold
palaghhaghte-,to not get or give enough; to short-change or be short-changed; to decrease in amount; to become fewer
palaghmete-,to be small, poor or weak; to be young and helpless; to be few
palaghte-,to pacify; to appease temporarily
palaghute-,to not get or give enough; to short-change or be short-changed; to decrease in amount; to become fewer
palaghyug-,to feel slighted; to feel that one hasn't received his due
palaghyuke-,to regard as insufficient or inferior
palaqetagh-,to not want to help out
palaqe-,to regard as insufficient or inferior
palaqiigate-,to not pay attention or give consideration
palighte-,to fade; to (sun)tan
paligh-,to turn autumn colors; to suntan; to ripen
palleg-,to brush off snow, dirt or spiritual contamination
pallnaghqe-,to end; to be worn out; to be exhausted
pallugte-,to thrash around in the water; to toss and turn in one's sleep
palngeri-,to attend an event; to go and check on an event
palutigh-,to brace
pama-,to flicker (of flame); to be disheveled (of hair)
panasiigh-,to prepare spear for striking
pana-,to spear; to sting (of bee)
paneghte-,to burn (it); to fry or stir-fry (it)
panegh-,to starve to death; to burn; to burn up
pangalegti-,to go fast with dogteam
pangaleg-,to run on four legs (of animals) with front legs hitting the ground simultaneously
pangalwaagh-,to trot
pangeghte-,to take a trip to Chukotka from St. Lawrence Island
pangquqe-,to go check on; to pay a visit to; to check the ones left behind
panike-,to have as one's daughter
panqallag-,to char; to smolder; to scorch; to singe
panqugni-,to complain of having little in order to evoke pity
panquugni-,to pretend to be poorer than one is; to be stingy
panrengi-,to get closer to see what is happening
papallugh-,to twitch; to fidget; to act excitedly
papasqitagh-,to move tail back and forth (of a fish (or whale?))
paperaghte-,to wag the tail; to swish the tail
paperegte-,to wag the tail; to swish the tail
paprangite-,to be quick, vigorous or active; to move fast
papri-,to fidget
paqnamiqe-,to escape or barely avoid peril; to warn or frighten one so that he will avoid peril 
paqnasigh-,to come to someone's aid to prevent injury
paqniite-,to be foolhardy; to take chances
paqugaghte-,to come off
paqumiyug-,to be wary of and hesitate to act due to threatening weather
paraaghniigh-,to ask for (needed item(s))
pasike-,to blame; to find fault with; to accuse
pasingatke-,to be interested in
pasleghhughagh-,to hint to be given something
patagagh-,to repeatedly pat or knock; clap
patag-,to pat lightly; to knock on something
patalaa-,to be in desperate need
pateghte-,to absorb
pateghtu-,to be wide
pategh-,to drain; to dry up; to evaporate; to be exhausted or tired
pategmig-,to drive off by slapping
pateg-,to hit with palm of hand; to slap
patilngu-,to ache (of  bone)
patime-,to flap wings while on the surface of the water
patimlla-,to flap wings at intervals
pati-,to crack bones and eat the marrow within
patug-,to become covered with a sheet of ice
payaaqe-,to put on or wear woman's fancy knee-high bleached sealskin boot
payangitaghtugh-,for Chukotkans to be repeatedly visiting
payangite-,for St. Lawrence Islanders to be visiting (Chukotka) or for Chukotkans to be visiting (St. Lawrence Island); people come over from the other side
payegh-,to meet partway; to go to meet or to help (someone approaching the house or the village)
payghiiqute-,to challenge in a spear throwing contest
payghumiigh-,to go towards each other
payugte-,to go check on (him/her) concerning (his/her) well-being; to raise the head from a lying position
payukagh-,to check briefly; to look in on; to raise one's head and then lower it
paywaaqeke-,to feel hesitant, unsure, frustrated or hopeless about (it)
paywaaqe-,to feel hesitant, frustrated or hopeless due to anticipated difficulties
peggaghtugh-,to stay up late
pegge-,to stay awake all night
peghhe-,to squat down (and give up) from exhaustion or cold
peghhigh-,to wash one's hands
peghhuughqe-,to get one's hands dirty
peghleghte-,to become numb
peghlegh-,to squat; to collapse; to be bent or stiff from cold; to be paralyzed in the legs
peghqigh-,to study; to practice; to train; to learn
peghqigsagh-,to train; to practice; to drill
peghqiiraagh-,to fold over several times
peghqiiragh-,to fold over and over
peghqinegh-,to be wise; to be clever
peghqiniqe-,to be sly; to be tricky
peghqipaari-,to become expert
peghte-,to fold over; to bend over
peghu-,to bury; to inter; to cover over (especially with earth or snow)
peghwaaghi-,to bury food to age or store it
peghyugh-,to be tired; to be sleepy
peglleghqe-,to separate fighting people or animals
peglleghqute-,to separate fighting people or animals
pegnefqagh-,to almost finish or do something
pegnefqe-,to miss but not by much; to almost hit the spot at which one is aiming
pegte-,to release; to let go; to divorce; to set free
pegtirake-,to not take care of; to not look after; to neglect
pegya-,to leave unattended; to forget; to leave behind accidentally; to lose
pegyeghqe-,to expose to public view; to bring into the open; to reveal; to throw into disarray
pekagh-,to pant; to gasp; to suffocate; to be out of breath; to down
pekaghyug-,to have trouble breathing
pekeqe-,to carelessly dig; to mess up the ground; to unearth (literally or figuratively)
pekete-,to shovel; to fire from work
pekfig-,to ransack; to dig around in
pekighqu-,to dig around in things; to yank
peksag-,to scatter things
peksigaghte-,to rip apart; to pull apart; to pry apart; to break up snow or ground
pekug-,to become fully awake; to become alert from a groggy state; to disperse quickly
pelaaya-,to play cards
pelaaye-,to play cards
pelataqute-,to scatter
peleghqe-,to get seriously injured; to die due to accident
peleghqii-,to have a death in the family
peleqeyengiigh-,to improperly finish a task; to do a careless job
pelghute-,to agree on; to be favorable for; to be suitable
pelime-,to shatter; to crumble; to fall apart; to break into many pieces
pelimte-,to break into pieces
pelkwaagh-,to become unaware of one's surrounding; to be distracted from one's surroundings; to not pay attention; to wander around
pellallaagh-,to blow out air with the lips closed together making a noise (as babies and small children do)
pellangghite-,to disperse
pellegh-,to come apart (especially along a line of some sort through the middle); to fall apart; to separate; to divide; to go in separate ways
pellghute-,to part from each other; to divorce; to put aside for
pelliili-,to entertain; to give moral support; to keep (one) from being lonely
pelliite-,to be good company; to be interesting; to cause one to be cheerful
pellug-,to scrape dried fat off a skin of a small animal after the skin has been dried and in so doing to stretch and soften the skin; to process frozen greens by a scraping action
pellumghute-,to fall into soft surface as of snow
pelungigh-,to clean up
pelungite-,to be clean; to be tidy
pengeg-,to worry about someone who hasn't returned as expected or who is far away
pengekragti-,to watch out for (because of worry)
pengetaagte-,for surface or ice or ground to be bumpy
peng'gu-,to worry about; to be concerned about
pengke-,to worry about
pengugaghte-,for a bump to form from an injury; for a small hill to form
pengugh-,to swell or rise in a lump, bumpor hump
pennaghniigh-,to gather eggs from a cliff or engage in other cliffside activities
pennaghqute-,to fall down from a cliff
penniighniigh-,to deal with (herd, hunt, etc.) sheep
peqigte-,to figure out
peqlighte-,to harden with age (especially of skins)
peqligh-,to harden with age (especially of skins); to deny having something (which one may or may not have)
peqliqe-,to deny having something (which one may or may not have)
peraagha-,for weather to be suitable for hunting
perqi-,to not want to do anything because of the cold; to become twisted or bent probably from arthritis (of dog's leg(s)); to be rheumatic or arthritic (of dogs)
pesalli-,to have difficulty finding something
pesallngugha-,to have difficulty breathing (in water as when overboard)
pesiqagh-,to eat walrus in frozen bite-size pieces
peskug-,to slip off (as a rope off something to which it is fastened); to come to an end (anger, sadness, etc.)
petekesengiigh-,to tiptoe
petgagha-,to bounce repeatedly
petgagh-,to bounce
petga-,to bounce
petgayu-,to be bouncy
petgeghinagh-,to have difficulty getting something
petgegh-,to bounce off something
petug-,to tie so as to keep in place; to tether; to fasten
pezighmete-,to be red; to be light-brown (of hair); to be totally thawed
pezighte-,to heat kelp for eating
pigraghaasi-,to act to benefit someone's belongings
piifqe-,to get things ready as for a ceremony
piifte-,to set out for use
piighaghte-,to go, say, or act quickly
piighataaghagh-,to get better; to improve
piighhe-,to braid
piighqutagh-,to slap the water with a piece of baleen to get walrus excited and come to the surface
piighqwaghate-,to go to help a boat that has caught a whale
piighwagh-,to chase game by boat; to approach game on ice by boat
piignga-,to protrude; to stick out
piigugh-,to tear up
piig-,to tear
piimsug-,to pick all the meat from a bone and eat it; to completely eat the last meat that is clinging to a bone; to pick clean
piineqe-,to paint
piinligh-,to begin; to start
piinpaghqe-,to get a large wound or serious injury
piisqaghte-,to jump out of the water
piiste-,to project; to stick out
piitesighagh-,to plant; to sow
piite-,to come into view or into existence; to sprout; to rise (of the sun); for there to be a noon moon or for the month to start; to pick the meat meat from a bone and eat it; to eat the last meat that is clinging to a bone
piitkegsi-,to be sucessful or fortunate in hunting and trapping
piitqughvike-,for plants to grow on road or trail
piivnga-,to have been set out for use; to be all set to come forth
piiwagh-,to go west; to go home
piiznga-,to be sticking out
pike-,to own; to be related to
pikraghniite-,to be unappealing, undesirable, or appears not to be very good
pilaanqegsagh-,to get or be ready
pilaataqu-,to achieve success; to do something very well
pilaayaghagh-,to teasingly say something and be taken literally
pilagh-,to do or take many things
pilagtugh-,to repeatedly cut; to saw
pilag-,to cut; to slash; to butcher whale; to undergo or perform surgery
piliigh-,to eat by cutting off bits of meat eaten one at a time
pilleghqute-,to disperse; to leave in different directions
pillgilliqe-,to have trouble due to one's ineptitude
pillgite-,to be inept; to not be good in something
pillguyugte-,to put on airs; to pretend to have abilities one does not have
pillugagh-,to fight physically; to fight in war
pillugute-,to fight physically; to fight in war
pilugug-,to put on one's clothes
pinagh-,to begin to melt; to start to break up (of frozen lakes and rivers in spring)
pineghlliqe-,to be obstinate, stubborn or heedless
pineghllug-,to be obstinate, stubborn or heedless
pingayuggaaghte-,to be only three left
pingughte-,to become old enough to be a source of help to parents or to take on a more adult role; to begin to grow up
pinighi-,to get better; to improve
pinighnagh-,to be made pleasing
pinighqe-,to enjoy life; to live well or contentedly
pinighsagh-,to fix; decorate
pinigh-,to be good; to be satisfying; to be fine
pinighyug-,to be cheerful
piniighte-,to improve; to get better; to become good; to become acceptable
piniqe-,to like; to love; to approve
piniyugte-,to rejoice; to be in a good state of mind
pipigte-,to do something more than previously; to be some way more than before
piraaghagh-,to benefit; to succeed; to have advantages; to have something new
piraamsi-,to be careful and/or meticulous
piraghagh-,to benefit; to succeed; to have advantages; to have something new
piraghyiilliqe-,to disturb; to impede; to bother; to prevent
pirughhniigh-,to obtain by persistent asking
pirughte-,to acquire gifts (usually of food) either given through freewill or because of societal obligations
pisaghagh-,to provoke; to dare; to try to persuade one to do something; to challenge
pisaghtiigh-,to be so dark that nothing can be seen; be pitch black
pisighwaagh-,to delay; to stall; to pretend; to hesitate due to shyness
pisiqagh-,to eat walrus in frozen bite-size pieces
pitaagh-,to challenge visitors in competitive sports
pitegsagh-,to go shooting with bow and arrow
pitegseghagh-,to shoot repeatedly
pitegte-,to shoot with bow and arrow
pitekesigniigh-,to stand on one's toes
pitengllagagh-,to hit something by flicking or snapping index or middle finger out from under ball of thumb
pitengllag-,to hit something by flicking or snapping index or middle finger out from under ball of thumb
pivagru-,to be thrifty; to be careful with what one has
pivake-,to prize; to value; to protect
pi-,to do; to act; to say; to go
pivesqite-,to be disinclined to act; to procrastinate, stall or delay; to be almost ready to act
pivesqitugh-,to be ready to do something; to keep handy
pivigite-,to lack the time or opportunity to act; to be unfavorable (conditions) for acting
piyaaniigh-,to hunt by walking on the ice (rather than using a vehicle)
piyaa-,to stroll; to take a walk; to visit; to hunt by walking on the ice (rather than using a vehicle)
piyaqli-,to have a hard time; to have difficulty
piyaqnagh-,to be hard to do; to be difficult
piyaqsug-,to have difficulty
piyekenghagh-,to walk with tiny steps
piyugaaghte-,to give order(s)
piyugsiqe-,to feel twitch in one's hair
piyugtugh-,to walk quickly or briskly
piyug-,to walk; to want something or to want do something
piyuke-,to want to have (it)
piyutagh-,to rush around; to take a walk
piyutqe-,to make oneself attractive; to groom oneself; to put on makeup or fancy clothes; to get things ready for someone; to start someone off in an activity
pughighnanigh-,to be deeply involved in what one is doing; be preoccupied; be absorbed in one's own actions
pugimagh-,to swim
pugime-,to swim
puglegha-,to be floating
puglegh-,to surface (especially in the water); to come out (said of a secret)
puglleghragh-,to recall what happened in the past
pugnayu-,to be bouyant
pugtaaghwagh-,to stay in one spot (of boat)
pugtaghtaagh-,to stay surfaced in one spot
pugtaghwaagh-,to stay surfaced in one spot
puguluqe-,to stir up sediment in a liquid
pukfig-,to ransack; to dig around in
pula-,to go into the midst of a group of things in which one becomes hidden from view; to go between somewhat scattered floes of sea ice
pumsugragh-,to pinch repeatedly
pumsug-,to pinch
pumsukegtagh-,to cut with scissors
pumsukesengiigh-,to handle only with thumb and forefinger (as to avoid being dirtied)
pumsumsi-,to eat by picking food with fingers
punegte-,to strike with an explosive at (it – whale) to kill it
pupigtaa-,to get scabby sores all over
pupingqugh-,to have a stinging sensation on one's fingers from touching a very cold object
puqig-,to be intelligent; to be smart; to be quick to learn
puqlate-,to be warm
puqlayaag-,to be very warm; to be sweaty
puqlayug-,to feel hot; to be sweaty
puqlegha-,to have fever
pusigte-,to pull back one's hood
putukumsug-,to tiptoe fast
putukumyug-,to tiptoe fast
putulqagh-,to dance a jig-like dance
putuugh-,to make a series of holes; to dance a certain dance related to whaling in which both the hands and body are in motion
putu-,to make a hole on the edge of a skin for running rope through it to stretch and dry it
puufqe-,to become swollen on the face
puuggaghaghtugh-,to quickly change the subject of conversation
puughhe-,to be amused (of a child)
puughseghagh-,to lie and try to convince
puughte-,to deceive or mislead; to kid or fool; to babysit or amuse
puugpagte-,to burst into flame
puugpag-,for a blister to form; to protrude from water (of sea mammal)
puug-,to surface; to come up for air (of whales); to poke the head out from the water (of sea mammals)
puuve-,to swell (often of a body part)
puuvlagh-,to smell or sense something and be scared off (of sea mammals)
puuvngiite-,to have one's swelling go down
puvallate-,to hold the annual ceremony at the time of the new moon
puvrugh-,to become rounded and dull (of knife edge, pick point, etc.)
puvughqu-,to pick around with the beak (of a bird)
puvugragh-,to peck continuously or repeatedly
puvug-,to peck (of a bird)
puvukiiraagh-,to peck intermittently
puygutagh-,to be forgetful
puygu-,to forget
puyughte-,to darken (it)
puyughuute-,to spout (of a whale); to give off puffs of vapor or smoke
puyumsugraagh-,to keep pinching; to pinch repeatedly
puyumsug-,to hold between thumb and forefinger; to pinch
puyuqe-,to become sooty
puyuughqe-,to get sooty
qaake-,to put something up on an elevated place (as on a shelf); to put something on land (or ice) from a boat in the water
qaalkaqe-,to make sarcastic, insinuating, or pointed remarks
qaalkaqute-,to argue against each other
qaalkaqu-,to express a strong opinion
qaallgigate-,to be a quiet person; to be reserved; to be taciturn
qaallgitugh-,to make an important statement
qaallgute-,to tell; to say something to
qaalluugh-,to go wake up friends early in the morning (of young boys) and tell them to come out wearing old women's clothes
qaalqaqwa-,to argue; to quarrel
qaame-,to go out (fire, light, etc.); to be extinguished; to be eclipsed; for visibility to be limited by it being overcast
qaamkagh-,to suddenly extinguish
qaamkallagte-,to be so stormy that nothing can be seen
qaamllug-,to be very dark (complete darkness)
qaamqaghte-,to pull on a loop or noose so as to tighten it; to suddenly or immediately extinguish
qaamte-,to extinguish; to quench; to put out (fire); to turn off; for weather to close in
qaasghute-,to overshoot; to go above; to travel on top of (it)
qaasghuute-,to travel right on the surface of something
qaaske-,to be covered on the outside by (it)
qaasni-,to suffer a burning pain; to burn in one's mind as from anger or grief; to smart; to sting
qaatke-,to obey
qaayeri-,to get blocked by ice in early winter with only a small breathing hole (of seals)
qafsinkaghte-,to get or catch how many or how much?; to pay how much?
qafsinkuuragh-,to be just a few
qagallaag-,to have waves so large as to impede or prevent travel
qageghqugh-,to burst (many things)
qageghte-,to be or become frothy (of ocean)
qagegh-,to burst; to pop open
qageghyug-,to irritate the eyes
qaghilugtaagh-,to hum at a low pitch
qaghlegute-,to mill about in excitement (of a group)
qaghleg-,to rise in the air (of a plane, hair in wind, bird, balloon, tarpaulin blown partly off, etc.)
qaghluughi-,to harness one's dogs
qaghlu-,to harness; to have harness-like bands on it
qaghma-,for there to be heat in the air distorting vision; to appear in a mirage
qaghpaghqugh-,to sew up sides of parka
qaghya-,to boast; to brag
qagingughte-,to come up (of surf)
qakegh-,to taste bitter
qakiqniqe-,to plan and prepare to go somewhere or do something
qakite-,to have an aftertaste from eating something bitter
qakwhegte-,to plan and/or prepare for a trip
qalepangi-,to be outspoken; to be talkative
qalepgute-,to ride low in the water (of a boat)
qalghigh-,to make non-speech vocal sounds; to whine (of a dog); to cry (of an animal); to bark (of a seal); to sing (of a bird)
qalghiregte-,to whine
qaligh-,to put on a gut rain parka
qallaate-,to boil; to cook by boiling or by simmering for long time
qallaqugh-,to bubble, boil, and churn
qallaragh-,to gurgle
qallate-,to boil; to cook by boiling or by simmering for long time
qallegnanighqe-,to quiet (him) down; to leave (him) speechless by one's words or actions
qallegsaghagh-,to pressure (him) to speak; to get (him) to say what one wants to hear
qalleg-,to speak; to utter something; to talk; to say something of importance
qalluki-,to process reindeer leg skin with hair
qalmaawi-,to be unsuccessful or unlucky at hunting; to not accomplish one's goal
qalmagh-,to summon dogs by making vocal sounds
qalmesite-,to run aground on rocks or reef
qalpallagh-,to respond; to make a move
qalqumigh-,to turn and come toward one (of an animal)
qalu-,to dip; to ladle; to scoop; to bail (a boat); to use a dipnet
qamaggute-,to do their parts, get their shares, have their turns, everyone of them
qamagte-,to go through all; to consume or be consumed entirely; to come to the end; to completely use up; to finish
qamanlliqe-,to keep something to oneself without talking about it
qamigagh-,to drag over the ground, floor or ice
qamiigh-,to make ready a load of meat to pull on ice
qamilgugh-,to travel together by sled
qamisli-,to make a sled or sleds
qamite-,to give something to take with one (especially a portion of meat from the site where the animal was killed)
qamsuugte-,for the weather to become poor with respect to visibility; to blink
qamughaghtagh-,to jerk one's head away in a gesture of anger (done by girls)
qamughagh-,to pull or drag by muscle power only
qamughqe-,to compel to pull; to give someone enough of one's catch so that he must pull it home
qamughsiigh-,to pull for some distance
qamugh-,to pull; to drag; to tow
qanaghte-,to lean forward while pulling something or walking against the wind
qaneghlliqe-,to reveal confidences; to spread gossip or rumors
qaneghmig-,to put into mouth; to chew tobacco
qanegh-,to speak idly
qanemsug-,to incant
qangraagtagh-,to nibble with crunching sound
qanguma-,to take or last a while
qanigughte-,for snow to start falling
qaniite-,to take supplies further ahead; to cache supplies on the way on which one intends to travel
qanii-,to go on ahead of others
qanilghagh-,to start or go on ahead of others
qani-,to commit suicide; to see a person off by going with him a short way
qanlagigh-,to have or give a tonsilectomy
qanlagllug-,to have tonsilitis
qanlengighte-,to start to get closer
qanlengi-,to get closer to (it); to approach
qanragh-,to walk or otherwise go ahead of a boat that is being pulled over the ice to scout the way
qantaghalli-,to approach; to get nearer
qantaghante-,to be nearby; to be close
qantagh-,to put into container; to wrap; to bandage
qantiigh-,to unwrap; to perform or undergo a hysterectomy
qapanagh-,to work fast; to be energetic
qapengtagh-,to get food by repeatedly diving into the water
qapigh-,to skin an animal (or an organ such as a stomach) starting at the mouth and doing it in such a way that the skin is not split; to cut slits part way through in a circular design on the surface of a newly covered drum to improve the sound
qapiighwtagh-,to sail zig-zagging against the wind in a boat; to tack into the wind (of a sailboat)
qapiyeghte-,to lose one's voice from shouting; to get hoarse
qaprag-,to make a move; to squirm; to fidget; to move around; to be active; to show signs of life
qaprekenghagh-,to make small motions; to slowly move about
qapriitugh-,to be constantly move around; to restlessly move around
qaqasa-,to not want (one's company); to reject
qaqasayug-,to feel discomfort (especially from filth)
qaqayuugte-,to feel better, especially after being ill; to perk up
qaqete-,to nick an animal hide when scraping the blubber off
qaqiighwtagh-,for there to be a sudden gust of wind in a sheltered area
qaqiighwte-,to experience a sudden gust of wind
qaqilqa-,to be undecided; to be hesitant; to have second thoughts
qaqiyugte-,to be excited; to be happy; to cheer up
qaquuragh-,to crucify
qarkanighnighte-,to go out and about
qarqaghni-,to be withdrawn (from the company of others)
qasaghqugh-,to slap repeatedly; to clap hands in applause
qasaghte-,to slap with palm of hand
qasiggnanigh-,to go to a certain place very often
qasigte-,to go to some specific place
qasike-,to agree with; to get along with
qasiqaghqe-,for there to be the cry of a baby walrus
qasiqi-,to butcher baby walrus meat; to play the second part in a woman's ball game where each part is named after a different operation in sea mammal catching
qaspighte-,to pile up; to put on or wear outer layer(s) of clothing
qasqite-,to reach the top
qateghaate-,to jump as a group
qategh-,to be white
qategmigute-,to land chest or belly down
qati-,to string bird breasts and hang them outside to dry
qavaa-,to be asleep
qavaghni-,to be sleepy
qavaghtagh-,to stay several nights in the ocean, ice or wilderness; to camp out
qavagh-,to sleep; to fall asleep
qavaghwaagh-,to oversleep
qavangsi-,to take a nap; to dose off
qavangughtaa-,to have repeated dreams about one thing; to repeatedly have dreams
qavangughtugh-,to dream
qavangugh-,to dream
qavayiilliqe-,toss and turn in one's sleep
qaviighte-,to disturb one's sleep
qaviighute-,to reveal one's dream to (him)
qavini-,to be half-awake
qaviri-,to have difficulty waking up
qavite-,to tell one's dreams to (him)
qavlegh-,to shimmer; to glitter; to be shiny
qavragh-,to mingle; to join the crowd; to lose an artifact which one has dug up by its mixing with the debris from the digging
qawaagllugtagh-,to interfere; to get in the way of others
qawaagniigh-,to hunt birds
qawaagyagh-,to go bird-hunting
qawaaqaaqegte-,to have clear cloudless weather
qawii-,to catch lots of birds
qayaghtugh-,to ride in or travel by kayak
qayeligh-,to cover; to put on outer layer
qayengestagh-,to drink hot beverage while doing something else; to quickly have a cup of tea or other hot beverage
qayengnaqi-,to make clothes for the family
qayetghute-,to exceed in value; to do more than needed; to go beyond what's necessary
qaygeghqe-,to uncover; to discover; to bring to the surface; to pull out from under
qaygeghte-,to reach the top
qayiigrugtagh-,to make a echoing hollow sound
qayiigtagh-,to make a echoing hollow sound
qayugh-,to drink tea, broth or other hot beverage
qayugtugh-,to repeatedly strike with an adze
qayug-,to strike with an adze when carving; to shape, form or create (as by carving); to dig with the front leg 
qayuqaawi-,to cause harm
qayvighagh-,to almost reach the top or surface
qayvighqe-,to suddenly reveal a secret
qayvighte-,to mention; to reveal
qefliqe-,to be mad, angry or furious (of a man)
qefliqsuug-,to be slightly angry or frustrated (of a man)
qeghaate-,to store food on a meat rack in winter
qeghagh-,to put up a meat rack or put meat on a rack
qelaate-,to take up one's time; to be slow (or slower than hoped or expected)
qelagh-,to call out a greeting to someone coming to the door; to urge dogs on when driving a team; to shoo dogs away
qelanegh-,to long for; to await with impatience. 
qelanqe-,to await with impatience or longing
qelegh-,to urge; to encourage; to advise; to coax
qeleqetaagh-,to tickle
qelghwaagh-,to repeatedly urge
qellayeg-,to have surgery
qellefkaghte-,to parboil
qellemghaari-,to be stunted in one's growth and development
qellghaghqe-,to influence to act in a certain way
qellghaghqi-,to influence others to act; to stir up others to get them to act in a certain way
qellisagh-,to flatten
qelliste-,to flatten
qelli-,to get packed down from pressure
qellughqagh-,to do gymnastics on a rope stretched between posts
qellughte-,to shrink
