Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naalke-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	naalke-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naalke-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-aq[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	nalle-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	nalle-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	nalle-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	nalle-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	nalle-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	nalle-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]

pimakanga	pi-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh*[Quant_Qual][1Du]

kiyaghteltung	kiyaghte[V][Intr][Opt][PRS][1Du]

------------------------


------------------------
"A-aa," angeghtuq kaynga.

angeghtuq	aw-–nge[N→V]-–ghte[V→V][V][Intr][Ind][3Sg]
angeghtuq	angegh-–ghte[V→V][V][Intr][Ind][3Sg]
angeghtuq	angegh[V][Intr][Ind][3Sg]
angeghtuq	angegh-te[V→V][V][Intr][Ind][3Sg]

kaynga	kaynge[N][Abs][Unpd][Sg]

------------------------


------------------------
Llaaghanam qerngaagmek kiyaghsagusimalghiik.

llaaghanam	llaaghanam[N][Abs][Unpd][Sg]

qerngaagmek	qerngagh*[Quant_Qual][4Du]

kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V][V][Intr][Ptcp][3Du]

------------------------
Ilangani aghneghem qikmiq qiluglaataamalghii.

ilangani	ila-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
ilangani	ila-~fnga[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila[N][Loc][3SgPoss][SgPosd]
ilangani	ila[N][Loc][3SgPoss][PlPosd]
ilangani	ilangani
ilangani	ilangani[N][Abs][Unpd][Sg]

aghneghem	aghnegh[N][Rel][Unpd][Sg]
aghneghem	Aghnegh[N][Rel][Unpd][Sg]

qikmiq	qikmigh[N][Abs][Unpd][Sg]

qiluglaataamalghii	qilug-@₁~laatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~laatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~flaatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~flaatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
qiluglaataamalghii	qilug-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Kayngem aghyuniighaa, "Saa una, qilugpenang! Yugwem naga­qughlleqaaten.

kayngem	kaynge[N][Rel][Unpd][Sg]

saa	sa[V][Intr][Intrg][3Sg]
saa	sa[V][Trns][Ind][3Sg][3Sg]
saa	saa
saa	saa[N][Abs][Unpd][Sg]

una	ete-@₁~:(u)n[V→N][N][Abs][3SgPoss][SgPosd]
una	una
una	una[N][Abs][Unpd][Sg]

qilugpenang	qilug-@₁–nghite**[V→V][V][Intr][Sbrd][2Sg]
qilugpenang	qilug-@₁–nghite**[V→V][V][Trns][Sbrd][_][2Sg]

------------------------
Qemall tagiluni pitegqaghlleqiinkung!"

qemall	qemall

tagiluni	tagi-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
tagiluni	tagi-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
tagiluni	tagi-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
tagiluni	tagi-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
tagiluni	tagi[V][Intr][Sbrd][3Sg]

------------------------


------------------------
Qikmiq sumeghtaghaghlaataamalghii, "Awilleqa yuuk iknaqelleghpigaalghii.

qikmiq	qikmigh[N][Abs][Unpd][Sg]

sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~laatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~laatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~flaatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~flaatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumeghtaghagh-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~laatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghlaataamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-te[N→V]-@₁~flaatagh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

awilleqa	aw-~:(ng₁)ite[N→V]-te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-~:(ng₁)ite[N→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-~:(ng₁)ite**[N→V]-te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-~:(ng₁)ite**[N→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-~:(ng₁)igh[N→V]-–lleq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
awilleqa	aw-~:(ng₁)igh[N→V]-–lleq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
awilleqa	aw-~:(ng₁)igh[N→V]-–lleq[V→N][N][Abs][1SgPoss][SgPosd]
awilleqa	aw-~:(ng₁)igh[N→V]-–lleq[V→N][N][Abs][3SgPoss][SgPosd]
awilleqa	aw-––i[N→V]-@₁~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-–lleq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––i[N→V]-–lleq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
awilleqa	aw-––i[N→V]-–lleq[V→N][N][Abs][1SgPoss][SgPosd]
awilleqa	aw-––i[N→V]-–lleq[V→N][N][Abs][3SgPoss][SgPosd]
awilleqa	aw-––i[N→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––igh[N→V]-–lleq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
awilleqa	aw-––igh[N→V]-–lleq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
awilleqa	aw-––igh[N→V]-–lleq[V→N][N][Abs][1SgPoss][SgPosd]
awilleqa	aw-––igh[N→V]-–lleq[V→N][N][Abs][3SgPoss][SgPosd]
awilleqa	awi-te[N→V]-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	awite-@₁lleqe[V→V][V][Intr][Intrg][3Sg]
awilleqa	awilleqa
awilleqa	awilleqa[N][Abs][Unpd][Sg]
awilleqa	aw-igh[N→V]-–lleq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
awilleqa	aw-igh[N→V]-–lleq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
awilleqa	aw-igh[N→V]-–lleq[V→N][N][Abs][1SgPoss][SgPosd]
awilleqa	aw-igh[N→V]-–lleq[V→N][N][Abs][3SgPoss][SgPosd]

yuuk	yug[N][Abs][Sg]

------------------------
Sanganqun uum aliklaataghtagu."

sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]-qun[Encl]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa[N][Rel][3SgPoss][SgPosd]-qun[Encl]
sanganqun	sa[N][Rel][3SgPoss][PlPosd]-qun[Encl]
sanganqun	sangagh[N][Abs][2SgPoss][SgPosd]-qun[Encl]

aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aw-–li[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
